t,T,P,edge,bal,ela,area
185.0,2.0622126842186317,5.0,9900.0,-7187373.343905123,1176.1987300002363,18262659.96130597
186.0,1.8762014255653758,5.0,9850.0,-4873698.131446228,1146.3258201240847,18232659.96130597
187.0,1.2403353698044635,5.0,9850.0,2656828.797667289,1045.0945010306225,18232659.96130597
188.0,2.8161926696649084,5.0,9850.0,-16024673.315512713,1292.6706673480526,18232659.96130597
189.0,-0.17421316805564846,5.0,9800.0,19476117.13582071,828.1493550807548,18202659.96130597
190.0,1.6887250408852177,5.0,9800.0,-2572279.0753861917,1124.055140395787,18202659.96130597
191.0,0.9674413783628113,5.0,9800.0,5959213.6256539645,1012.9515761852067,18202659.96130597
192.0,1.7619613917633066,5.0,9800.0,-3442356.5370306987,1131.4806426271157,18202659.96130597
193.0,0.7122648486377026,5.0,9750.0,9063236.594090696,964.6093153399056,18172659.96130597
194.0,1.9758281262319732,5.0,9750.0,-5860485.480609933,1163.4410339975573,18172659.96130597
195.0,1.9939058803966807,5.0,9750.0,-6071331.601098558,1163.185017488549,18172659.96130597
196.0,2.165284713750654,5.0,9700.0,-7981738.136900345,1191.9571053790314,18142659.96130597
197.0,0.755776032046918,5.0,9700.0,8637773.559355222,972.1503369222316,18142659.96130597
198.0,0.245962860638131,5.0,9700.0,14647081.589218128,896.2938029331652,18142659.96130597
199.0,1.8155128750309268,5.0,9650.0,-3753872.2430831017,1142.13040248783,18112659.96130597
200.0,2.7894255013561784,5.0,9650.0,-15214814.359813616,1288.3204706404172,18112659.96130597
201.0,1.614172475531288,5.0,9600.0,-1275053.5435730172,1101.340284779967,18082659.96130597
202.0,-0.38721831642170823,5.0,9600.0,22246768.03577207,793.1789470179167,18082659.96130597
203.0,0.28372604712864646,5.0,9600.0,14362135.236118738,901.3950832739617,18082659.96130597
204.0,1.8021724812344155,5.0,9600.0,-3475985.480525559,1133.4498392292862,18082659.96130597
205.0,0.16649177344275135,5.0,9550.0,15834836.714343423,885.7800935730809,18052659.96130597
206.0,-0.15986515143255442,5.0,9550.0,19679051.963156812,832.4357543766934,18052659.96130597
207.0,1.9371648430633988,5.0,9550.0,-4906470.908030821,1157.7969930111765,18052659.96130597
208.0,0.5720277647256298,5.0,9550.0,11136481.134251438,947.4747148702714,18052659.96130597
209.0,-0.5381372021782882,5.0,9500.0,24245838.48931295,773.0937128423865,18022659.96130597
210.0,2.0264167726136693,5.0,9500.0,-5767780.176623916,1173.8576219391723,18022659.96130597
211.0,0.4099833900332408,5.0,9500.0,13200149.519015651,922.8607555063649,18022659.96130597
212.0,1.8012976257794469,5.0,9500.0,-3068190.989466803,1136.4239292056639,18022659.96130597
213.0,1.1776222147634838,5.0,9500.0,4267754.496346869,1041.5035958159172,18022659.96130597
214.0,0.6503450491722207,5.0,9500.0,10471372.289918244,961.4636896213372,18022659.96130597
215.0,2.689711117334503,5.0,9450.0,-13271581.975279,1274.422024047623,17992659.96130597
216.0,1.467248409507186,5.0,9450.0,1049092.0411247388,1083.8895209948862,17992659.96130597
217.0,0.847871279556931,5.0,9450.0,8310786.371828361,987.7711921629286,17992659.96130597
218.0,0.940393786761482,5.0,9450.0,7245820.685709885,1002.3256560914862,17992659.96130597
219.0,-0.17827629366914,5.0,9450.0,20347312.610341404,827.8545678666329,17992659.96130597
220.0,1.3628285609052737,5.0,9450.0,2346265.8567329794,1075.5565294957535,17992659.96130597
221.0,-0.4404106728226571,5.0,9450.0,23461641.349520467,792.7010891042046,17992659.96130597
222.0,1.3842420248375111,5.0,9450.0,2151538.096145259,1076.7561302780737,17992659.96130597
223.0,1.2719293254841615,5.0,9450.0,3498284.708960849,1055.6405484578195,17992659.96130597
224.0,2.6983720869791314,5.0,9450.0,-13152787.630979855,1275.8398984421235,17992659.96130597
225.0,0.5668129160910729,5.0,9450.0,11802177.29952781,947.7504661433629,17992659.96130597
226.0,1.045250450407603,5.0,9500.0,6140394.029471867,1025.8607742291488,18022659.96130597
227.0,1.4955766407379008,5.0,9500.0,887575.4216543231,1086.6826416365484,18022659.96130597
228.0,0.6853663702507893,5.0,9500.0,10400719.525740998,963.3692018634315,18022659.96130597
229.0,2.2115754679645816,5.0,9550.0,-7568450.955081942,1200.0899456797424,18052659.96130597
230.0,0.7177314210047969,5.0,9550.0,9980810.678562157,970.168231868735,18052659.96130597
231.0,0.8923329467499004,5.0,9550.0,7949902.6037013475,999.3032249277046,18052659.96130597
232.0,0.9527396808640338,5.0,9550.0,7260492.771060139,1007.9309334261952,18052659.96130597
233.0,1.6879510232907604,5.0,9600.0,-1447722.372671646,1119.0977767828902,18082659.96130597
234.0,1.2124407779160018,5.0,9600.0,4161313.248633327,1045.9919308872031,18082659.96130597
235.0,0.8787709305310409,5.0,9650.0,8014769.120764513,994.7861456696596,18112659.96130597
236.0,2.3891646741504475,5.0,9650.0,-9748779.942766223,1227.7586953145876,18112659.96130597
237.0,0.5510053374595953,5.0,9650.0,11908527.863750365,944.4419855627433,18112659.96130597
238.0,0.023893900834841553,5.0,9700.0,18058351.376200356,865.9260995603214,18142659.96130597
239.0,1.2609288490738075,5.0,9700.0,3488922.294752205,1057.263567326489,18142659.96130597
240.0,1.2018685737973174,5.0,9750.0,4113538.099150046,1047.0745227348966,18172659.96130597
241.0,2.0121037112400932,5.0,9750.0,-5435395.216686129,1170.7685162911969,18172659.96130597
242.0,2.2267898256692336,5.0,9800.0,-8066224.710797327,1203.9227444040932,18202659.96130597
243.0,1.8900317622819403,5.0,9800.0,-4067933.5526981084,1147.50785854351,18202659.96130597
244.0,1.714073684633493,5.0,9850.0,-2081645.480758328,1118.0576276627917,18232659.96130597
245.0,1.0386132087044926,5.0,9850.0,5928953.775683307,1014.5470205788656,18232659.96130597
246.0,1.1009666677828145,5.0,9900.0,5101778.3886533175,1026.7830876725225,18262659.96130597
247.0,1.0180695119182408,5.0,9900.0,6091878.306947018,1014.8070713731704,18262659.96130597
248.0,2.158758338014395,5.0,9950.0,-7555430.653083413,1191.2557814947118,18292659.96130597
249.0,1.3718321454067341,5.0,9950.0,1808105.0906588892,1065.249422013659,18292659.96130597
250.0,0.31606796914266777,5.0,10000.0,14287189.850174684,907.1620882727381,18322659.96130597
251.0,1.4279415344009747,5.0,10000.0,1051835.2425585054,1076.6261552583412,18322659.96130597
252.0,2.021445806933124,5.0,10050.0,-6120038.753557655,1169.2498035380931,18352659.96130597
253.0,1.123212765619635,5.0,10050.0,4602911.4701294135,1034.2232636864103,18352659.96130597
254.0,2.5696930233609168,5.0,10100.0,-12770529.478771672,1254.2168372583676,18382659.96130597
255.0,1.645411364162336,5.0,10100.0,-1722982.3329689633,1107.0455551134717,18382659.96130597
256.0,1.931190826171231,5.0,10150.0,-5250811.745664295,1151.8656217429746,18412659.96130597
257.0,-0.3046739196351398,5.0,10150.0,21505751.61477508,812.1058778100457,18412659.96130597
258.0,2.4579827329370163,5.0,10200.0,-11682767.900834655,1236.08642151683,18442659.96130597
259.0,1.5424326968819715,5.0,10200.0,-705595.3760542125,1095.690855488666,18442659.96130597
260.0,0.5418439615643083,5.0,10250.0,11200666.70820787,940.4083756921068,18472659.96130597
261.0,0.4827050514445803,5.0,10250.0,11911365.77839019,934.4953803639987,18472659.96130597
262.0,0.08465747446883132,5.0,10300.0,16615822.273743004,875.4392642580774,18502659.96130597
263.0,2.3739398436232966,5.0,10350.0,-11032057.768249273,1226.3047649389305,18532659.96130597
264.0,2.0576715729900323,5.0,10350.0,-7209848.478398781,1174.2827871938478,18532659.96130597
265.0,1.820149695908854,5.0,10400.0,-4457772.199949769,1136.4738031691259,18562659.96130597
266.0,1.295290161126899,5.0,10400.0,1878393.62868952,1054.1523657838243,18562659.96130597
267.0,4.0807338292083175,5.0,10450.0,-31890277.394200686,1483.3474913775672,18592659.96130597
268.0,0.8212167007181082,5.0,10450.0,7496747.26970635,985.8154992838058,18592659.96130597
269.0,0.5291167331945621,5.0,10450.0,11015913.474458622,938.9392262703025,18592659.96130597
270.0,1.4134880001687469,5.0,10500.0,209674.03528127633,1074.0901113125324,18622659.96130597
271.0,0.3819680547827895,5.0,10500.0,12690886.910306549,917.019665825237,18622659.96130597
272.0,2.828323931720635,5.0,10550.0,-17062453.187161386,1291.1754241088072,18652659.96130597
273.0,2.0403612211232565,5.0,10550.0,-7510798.660715718,1172.4035677306636,18652659.96130597
274.0,2.8098733044061275,5.0,10550.0,-16847132.261050463,1289.817791525599,18652659.96130597
275.0,0.196069449075579,5.0,10550.0,14831718.68905956,885.0489658055227,18652659.96130597
276.0,1.8282990331310236,5.0,10600.0,-5090002.069049295,1134.7826993953663,18682659.96130597
277.0,2.362807740259748,5.0,10600.0,-11590624.184723254,1222.624467586481,18682659.96130597
278.0,1.7325876428295173,5.0,10600.0,-3949133.057066325,1126.9036909597037,18682659.96130597
279.0,1.3708443608163021,5.0,10600.0,429676.8976539066,1071.9494216382095,18682659.96130597
280.0,1.6027866864612745,5.0,10650.0,-2517306.734223225,1104.2168481633776,18712659.96130597
